"performing_country","voting_type","voting_country","points_awarded"
"lithuania","jury","spain",2
"lithuania","jury","sweden",0
"lithuania","jury","switzerland",4
"lithuania","jury","ukraine",0
"lithuania","jury","united kingdom",0
"malta","jury","albania",8
"malta","jury","australia",12
"malta","jury","austria",4
"malta","jury","azerbaijan",7
"malta","jury","belgium",5
"malta","jury","bulgaria",5
"malta","jury","croatia",3
"malta","jury","cyprus",10
"malta","jury","czech republic",7
"malta","jury","denmark",4
"malta","jury","estonia",1
"malta","jury","finland",1
"malta","jury","france",0
"malta","jury","georgia",1
"malta","jury","germany",8
"malta","jury","greece",6
"malta","jury","iceland",1
"malta","jury","ireland",10
"malta","jury","israel",5
"malta","jury","italy",7
"malta","jury","latvia",2
"malta","jury","lithuania",3
"malta","jury","malta",0
"malta","jury","moldova",7
"malta","jury","netherlands",7
"malta","jury","north macedonia",5
"malta","jury","norway",12
"malta","jury","poland",4
"malta","jury","portugal",4
"malta","jury","romania",12
"malta","jury","russia",4
"malta","jury","san marino",7
"malta","jury","serbia",0
"malta","jury","slovenia",5
"malta","jury","spain",8
"malta","jury","sweden",12
"malta","jury","switzerland",6
"malta","jury","ukraine",5
"malta","jury","united kingdom",0
"moldova","jury","albania",0
"moldova","jury","australia",0
"moldova","jury","austria",0
"moldova","jury","azerbaijan",8
"moldova","jury","belgium",0
"moldova","jury","bulgaria",12
"moldova","jury","croatia",0
"moldova","jury","cyprus",0
"moldova","jury","czech republic",0
"moldova","jury","denmark",0
"moldova","jury","estonia",0
"moldova","jury","finland",0
"moldova","jury","france",0
"moldova","jury","georgia",0
"moldova","jury","germany",0
"moldova","jury","greece",10
"moldova","jury","iceland",0
"moldova","jury","ireland",0
"moldova","jury","israel",0
"moldova","jury","italy",0
"moldova","jury","latvia",0
"moldova","jury","lithuania",0
"moldova","jury","malta",0
"moldova","jury","moldova",0
"moldova","jury","netherlands",0
"moldova","jury","north macedonia",0
"moldova","jury","norway",0
"moldova","jury","poland",0
"moldova","jury","portugal",0
"moldova","jury","romania",6
"moldova","jury","russia",12
"moldova","jury","san marino",5
"moldova","jury","serbia",0
"moldova","jury","slovenia",0
"moldova","jury","spain",0
"moldova","jury","sweden",0
"moldova","jury","switzerland",0
"moldova","jury","ukraine",0
"moldova","jury","united kingdom",0
"netherlands","jury","albania",0
"netherlands","jury","australia",3
"netherlands","jury","austria",3
"netherlands","jury","azerbaijan",0
"netherlands","jury","belgium",0
"netherlands","jury","bulgaria",2
"netherlands","jury","croatia",0
"netherlands","jury","cyprus",0
"netherlands","jury","czech republic",0
"netherlands","jury","denmark",0
"netherlands","jury","estonia",0
"netherlands","jury","finland",0
"netherlands","jury","france",0
"netherlands","jury","georgia",2
"netherlands","jury","germany",0
"netherlands","jury","greece",0
"netherlands","jury","iceland",0
"netherlands","jury","ireland",0
"netherlands","jury","israel",0
"netherlands","jury","italy",0
"netherlands","jury","latvia",0
"netherlands","jury","lithuania",0
"netherlands","jury","malta",0
"netherlands","jury","moldova",0
"netherlands","jury","netherlands",0
"netherlands","jury","north macedonia",0
"netherlands","jury","norway",0
"netherlands","jury","poland",0
"netherlands","jury","portugal",1
"netherlands","jury","romania",0
"netherlands","jury","russia",0
"netherlands","jury","san marino",0
"netherlands","jury","serbia",0
"netherlands","jury","slovenia",0
"netherlands","jury","spain",0
"netherlands","jury","sweden",0
"netherlands","jury","switzerland",0
"netherlands","jury","ukraine",0
"netherlands","jury","united kingdom",0
"norway","jury","albania",0
"norway","jury","australia",0
"norway","jury","austria",0
"norway","jury","azerbaijan",0
"norway","jury","belgium",0
"norway","jury","bulgaria",0
"norway","jury","croatia",0
"norway","jury","cyprus",0
"norway","jury","czech republic",0
"norway","jury","denmark",3
"norway","jury","estonia",0
"norway","jury","finland",0
"norway","jury","france",0
"norway","jury","georgia",0
"norway","jury","germany",0
"norway","jury","greece",0
"norway","jury","iceland",0
"norway","jury","ireland",7
"norway","jury","israel",0
"norway","jury","italy",2
"norway","jury","latvia",0
"norway","jury","lithuania",0
"norway","jury","malta",0
"norway","jury","moldova",0
"norway","jury","netherlands",0
"norway","jury","north macedonia",0
"norway","jury","norway",0
"norway","jury","poland",0
"norway","jury","portugal",0
"norway","jury","romania",0
"norway","jury","russia",0
"norway","jury","san marino",0
"norway","jury","serbia",0
"norway","jury","slovenia",0
"norway","jury","spain",0
"norway","jury","sweden",2
"norway","jury","switzerland",0
"norway","jury","ukraine",1
"norway","jury","united kingdom",0
"portugal","jury","albania",0
"portugal","jury","australia",0
"portugal","jury","austria",7
"portugal","jury","azerbaijan",2
"portugal","jury","belgium",1
"portugal","jury","bulgaria",6
"portugal","jury","croatia",1
"portugal","jury","cyprus",1
"portugal","jury","czech republic",12
"portugal","jury","denmark",0
"portugal","jury","estonia",5
"portugal","jury","finland",0
"portugal","jury","france",8
"portugal","jury","georgia",8
"portugal","jury","germany",0
"portugal","jury","greece",0
"portugal","jury","iceland",10
"portugal","jury","ireland",0
"portugal","jury","israel",0
"portugal","jury","italy",6
"portugal","jury","latvia",0
"portugal","jury","lithuania",6
"portugal","jury","malta",7
"portugal","jury","moldova",2
"portugal","jury","netherlands",0
"portugal","jury","north macedonia",0
"portugal","jury","norway",0
"portugal","jury","poland",8
"portugal","jury","portugal",0
"portugal","jury","romania",10
"portugal","jury","russia",0
"portugal","jury","san marino",0
"portugal","jury","serbia",5
"portugal","jury","slovenia",0
"portugal","jury","spain",5
"portugal","jury","sweden",0
"portugal","jury","switzerland",7
"portugal","jury","ukraine",2
"portugal","jury","united kingdom",7
"russia","jury","albania",0
"russia","jury","australia",1
"russia","jury","austria",0
"russia","jury","azerbaijan",12
"russia","jury","belgium",7
"russia","jury","bulgaria",0
"russia","jury","croatia",4
"russia","jury","cyprus",6
"russia","jury","czech republic",2
"russia","jury","denmark",0
"russia","jury","estonia",0
"russia","jury","finland",4
"russia","jury","france",10
"russia","jury","georgia",0
"russia","jury","germany",2
"russia","jury","greece",2
"russia","jury","iceland",2
"russia","jury","ireland",0
"russia","jury","israel",7
"russia","jury","italy",0
"russia","jury","latvia",1
"russia","jury","lithuania",0
"russia","jury","malta",0
"russia","jury","moldova",10
"russia","jury","netherlands",8
"russia","jury","north macedonia",1
"russia","jury","norway",0
"russia","jury","poland",1
"russia","jury","portugal",10
"russia","jury","romania",0
"russia","jury","russia",0
"russia","jury","san marino",0
"russia","jury","serbia",0
"russia","jury","slovenia",8
"russia","jury","spain",0
"russia","jury","sweden",3
"russia","jury","switzerland",3
"russia","jury","ukraine",0
"russia","jury","united kingdom",0
"san marino","jury","albania",5
"san marino","jury","australia",0
"san marino","jury","austria",0
"san marino","jury","azerbaijan",0
"san marino","jury","belgium",0
"san marino","jury","bulgaria",0
"san marino","jury","croatia",0
"san marino","jury","cyprus",0
"san marino","jury","czech republic",0
"san marino","jury","denmark",5
"san marino","jury","estonia",0
"san marino","jury","finland",0
"san marino","jury","france",4
"san marino","jury","georgia",0
"san marino","jury","germany",0
"san marino","jury","greece",7
"san marino","jury","iceland",0
"san marino","jury","ireland",0
"san marino","jury","israel",0
"san marino","jury","italy",0
"san marino","jury","latvia",0
"san marino","jury","lithuania",0
"san marino","jury","malta",1
"san marino","jury","moldova",0
"san marino","jury","netherlands",0
"san marino","jury","north macedonia",0
"san marino","jury","norway",0
"san marino","jury","poland",12
"san marino","jury","portugal",0
"san marino","jury","romania",0
"san marino","jury","russia",0
"san marino","jury","san marino",0
"san marino","jury","serbia",0
"san marino","jury","slovenia",0
"san marino","jury","spain",0
"san marino","jury","sweden",0
"san marino","jury","switzerland",0
"san marino","jury","ukraine",0
"san marino","jury","united kingdom",3
"serbia","jury","albania",1
"serbia","jury","australia",0
"serbia","jury","austria",0
"serbia","jury","azerbaijan",0
"serbia","jury","belgium",0
"serbia","jury","bulgaria",0
"serbia","jury","croatia",7
"serbia","jury","cyprus",0
"serbia","jury","czech republic",0
"serbia","jury","denmark",0
"serbia","jury","estonia",0
"serbia","jury","finland",0
"serbia","jury","france",0
"serbia","jury","georgia",0
"serbia","jury","germany",0
"serbia","jury","greece",0
"serbia","jury","iceland",0
"serbia","jury","ireland",0
"serbia","jury","israel",0
"serbia","jury","italy",0
"serbia","jury","latvia",0
"serbia","jury","lithuania",0
"serbia","jury","malta",0
"serbia","jury","moldova",0
"serbia","jury","netherlands",0
"serbia","jury","north macedonia",12
"serbia","jury","norway",0
"serbia","jury","poland",0
"serbia","jury","portugal",0
"serbia","jury","romania",0
"serbia","jury","russia",0
"serbia","jury","san marino",0
"serbia","jury","serbia",0
"serbia","jury","slovenia",0
"serbia","jury","spain",0
"serbia","jury","sweden",0
"serbia","jury","switzerland",0
"serbia","jury","ukraine",0
"serbia","jury","united kingdom",0
"spain","jury","albania",0
"spain","jury","australia",0
"spain","jury","austria",0
"spain","jury","azerbaijan",0
"spain","jury","belgium",0
"spain","jury","bulgaria",4
"spain","jury","croatia",0
"spain","jury","cyprus",0
"spain","jury","czech republic",0
"spain","jury","denmark",0
"spain","jury","estonia",0
"spain","jury","finland",0
"spain","jury","france",0
"spain","jury","georgia",0
"spain","jury","germany",0
"spain","jury","greece",0
"spain","jury","iceland",0
"spain","jury","ireland",0
"spain","jury","israel",0
"spain","jury","italy",0
"spain","jury","latvia",0
"spain","jury","lithuania",0
"spain","jury","malta",0
"spain","jury","moldova",0
"spain","jury","netherlands",0
"spain","jury","north macedonia",0
"spain","jury","norway",0
"spain","jury","poland",0
"spain","jury","portugal",0
"spain","jury","romania",0
"spain","jury","russia",0
"spain","jury","san marino",0
"spain","jury","serbia",0
"spain","jury","slovenia",0
"spain","jury","spain",0
"spain","jury","sweden",0
"spain","jury","switzerland",0
"spain","jury","ukraine",0
"spain","jury","united kingdom",2
"sweden","jury","albania",0
"sweden","jury","australia",0
"sweden","jury","austria",0
"sweden","jury","azerbaijan",5
"sweden","jury","belgium",4
"sweden","jury","bulgaria",0
"sweden","jury","croatia",0
"sweden","jury","cyprus",0
"sweden","jury","czech republic",0
"sweden","jury","denmark",2
"sweden","jury","estonia",0
"sweden","jury","finland",5
"sweden","jury","france",1
"sweden","jury","georgia",0
"sweden","jury","germany",4
"sweden","jury","greece",0
"sweden","jury","iceland",0
"sweden","jury","ireland",0
"sweden","jury","israel",0
"sweden","jury","italy",0
"sweden","jury","latvia",0
"sweden","jury","lithuania",0
"sweden","jury","malta",8
"sweden","jury","moldova",0
"sweden","jury","netherlands",0
"sweden","jury","north macedonia",3
"sweden","jury","norway",10
"sweden","jury","poland",0
"sweden","jury","portugal",0
"sweden","jury","romania",0
"sweden","jury","russia",0
"sweden","jury","san marino",0
"sweden","jury","serbia",4
"sweden","jury","slovenia",0
"sweden","jury","spain",0
"sweden","jury","sweden",0
"sweden","jury","switzerland",0
"sweden","jury","ukraine",0
"sweden","jury","united kingdom",0
"switzerland","jury","albania",12
"switzerland","jury","australia",10
"switzerland","jury","austria",10
"switzerland","jury","azerbaijan",0
"switzerland","jury","belgium",12
"switzerland","jury","bulgaria",0
"switzerland","jury","croatia",8
"switzerland","jury","cyprus",2
"switzerland","jury","czech republic",5
"switzerland","jury","denmark",12
"switzerland","jury","estonia",12
"switzerland","jury","finland",12
"switzerland","jury","france",7
"switzerland","jury","georgia",10
"switzerland","jury","germany",10
"switzerland","jury","greece",0
"switzerland","jury","iceland",12
"switzerland","jury","ireland",5
"switzerland","jury","israel",12
"switzerland","jury","italy",0
"switzerland","jury","latvia",12
"switzerland","jury","lithuania",8
"switzerland","jury","malta",10
"switzerland","jury","moldova",3
"switzerland","jury","netherlands",5
"switzerland","jury","north macedonia",6
"switzerland","jury","norway",7
"switzerland","jury","poland",7
"switzerland","jury","portugal",7
"switzerland","jury","romania",7
"switzerland","jury","russia",1
"switzerland","jury","san marino",4
"switzerland","jury","serbia",1
"switzerland","jury","slovenia",7
"switzerland","jury","spain",10
"switzerland","jury","sweden",5
"switzerland","jury","switzerland",0
"switzerland","jury","ukraine",8
"switzerland","jury","united kingdom",8
"ukraine","jury","albania",0
"ukraine","jury","australia",5
"ukraine","jury","austria",0
"ukraine","jury","azerbaijan",6
"ukraine","jury","belgium",10
"ukraine","jury","bulgaria",0
"ukraine","jury","croatia",0
"ukraine","jury","cyprus",0
"ukraine","jury","czech republic",0
"ukraine","jury","denmark",0
"ukraine","jury","estonia",4
"ukraine","jury","finland",0
"ukraine","jury","france",0
"ukraine","jury","georgia",7
"ukraine","jury","germany",5
"ukraine","jury","greece",1
"ukraine","jury","iceland",3
"ukraine","jury","ireland",6
"ukraine","jury","israel",4
"ukraine","jury","italy",1
"ukraine","jury","latvia",7
"ukraine","jury","lithuania",12
"ukraine","jury","malta",5
"ukraine","jury","moldova",0
"ukraine","jury","netherlands",3
"ukraine","jury","north macedonia",0
"ukraine","jury","norway",3
"ukraine","jury","poland",0
"ukraine","jury","portugal",2
"ukraine","jury","romania",5
"ukraine","jury","russia",0
"ukraine","jury","san marino",0
"ukraine","jury","serbia",0
"ukraine","jury","slovenia",0
"ukraine","jury","spain",0
"ukraine","jury","sweden",8
"ukraine","jury","switzerland",0
"ukraine","jury","ukraine",0
"ukraine","jury","united kingdom",0
"united kingdom","jury","albania",0
"united kingdom","jury","australia",0
"united kingdom","jury","austria",0
"united kingdom","jury","azerbaijan",0
"united kingdom","jury","belgium",0
"united kingdom","jury","bulgaria",0
"united kingdom","jury","croatia",0
"united kingdom","jury","cyprus",0
"united kingdom","jury","czech republic",0
"united kingdom","jury","denmark",0
"united kingdom","jury","estonia",0
"united kingdom","jury","finland",0
"united kingdom","jury","france",0
"united kingdom","jury","georgia",0
"united kingdom","jury","germany",0
"united kingdom","jury","greece",0
"united kingdom","jury","iceland",0
"united kingdom","jury","ireland",0
"united kingdom","jury","israel",0
"united kingdom","jury","italy",0
"united kingdom","jury","latvia",0
"united kingdom","jury","lithuania",0
